"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379800700000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Service-Providing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Service-Providing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","2011.5","2023.1","2036.4","2032.0","2039.3","2047.2","2022.1","2017.2","2029.5","2038.4","2051.3","2059.0"
"1991.0","1989.0","1995.1","2002.3","2007.4","2012.8","2011.2","1968.4","1957.4","1979.7","1997.4","2012.0","2020.3"
"1992.0","1964.8","1970.9","1977.9","1989.9","1995.8","1998.2","1981.0","1968.7","1979.1","2015.2","2024.6","2037.3"
"1993.0","1978.4","1990.2","1992.7","2009.6","2019.2","2020.4","2002.7","1994.5","2003.0","2028.8","2042.6","2060.8"
"1994.0","1998.2","2008.5","2026.4","2043.5","2051.3","2056.8","2028.5","2025.6","2045.2","2065.3","2081.4","2099.2"
"1995.0","2029.0","2043.9","2055.2","2066.8","2075.0","2082.4","2047.7","2051.1","2074.5","2100.1","2120.3","2132.9"
"1996.0","2053.9","2082.8","2098.2","2122.0","2136.7","2134.0","2105.8","2106.6","2122.3","2145.2","2163.6","2179.1"
"1997.0","2119.2","2137.3","2153.5","2167.1","2180.5","2184.3","2160.7","2160.8","2187.0","2211.2","2234.1","2252.6"
"1998.0","2185.7","2203.4","2216.5","2229.8","2243.0","2238.3","2218.3","2218.5","2239.5","2262.4","2280.9","2300.0"
"1999.0","2235.1","2251.2","2269.8","2291.6","2297.8","2306.6","2276.5","2274.0","2286.3","2315.8","2332.7","2356.4"
"2000.0","2284.6","2298.3","2318.8","2334.1","2343.1","2348.1","2311.5","2300.3","2331.8","2347.7","2372.7","2393.0"
"2001.0","2316.4","2329.0","2342.8","2353.8","2361.2","2368.0","2324.3","2319.8","2336.4","2354.0","2374.8","2385.5"
"2002.0","2320.9","2332.5","2349.2","2356.8","2364.1","2374.7","2328.5","2322.6","2346.9","2369.4","2388.5","2396.5"
"2003.0","2327.3","2333.4","2350.9","2364.7","2372.4","2377.4","2341.9","2333.3","2357.1","2381.1","2396.6","2405.5"
"2004.0","2334.7","2347.1","2365.3","2382.3","2391.0","2398.6","2365.7","2358.0","2385.2","2413.7","2428.0","2437.1"
"2005.0","2368.2","2381.9","2391.2","2420.1","2428.0","2425.7","2400.6","2388.9","2416.9","2437.0","2450.7","2458.7"
"2006.0","2393.2","2407.9","2421.9","2444.1","2453.9","2452.3","2419.7","2412.3","2435.4","2459.6","2476.3","2482.5"
"2007.0","2419.5","2430.1","2445.0","2461.9","2472.2","2475.7","2445.2","2435.2","2451.3","2481.9","2498.2","2501.7"
"2008.0","2438.5","2449.2","2459.6","2484.4","2487.9","2484.2","2445.4","2436.9","2457.8","2482.5","2481.1","2481.1"
"2009.0","2407.3","2413.2","2411.2","2422.5","2428.4","2421.7","2383.8","2369.3","2389.4","2424.4","2430.8","2428.2"
"2010.0","2366.8","2370.0","2386.3","2413.6","2434.3","2428.9","2390.1","2379.6","2400.1","2431.5","2444.8","2450.3"
"2011.0","2384.7","2397.6","2412.7","2436.7","2437.0","2432.9","2393.1","2382.6","2413.8","2434.6","2450.1","2454.6"
"2012.0","2390.6","2406.9","2430.1","2441.8","2452.4","2450.5","2411.7","2409.6","2437.8","2465.2","2483.6","2485.3"
"2013.0","2414.5","2433.7","2450.2","2467.6","2475.1","2474.7","2432.5","2428.6","2458.9","2482.5","2504.4","2502.3"
"2014.0","2436.5","2442.8","2461.5","2490.8","2502.0","2503.8","2462.9","2461.2","2496.9","2525.7","2544.6","2547.7"
"2015.0","2472.7","2485.4","2498.2","2526.9","2542.3","2542.8","2503.6","2497.9","2528.8","2562.2","2579.6","2583.2"
"2016.0","2508.9","2523.8","2543.2","2573.5","2577.6","2577.2","2554.4","2548.3","2586.0","2604.5","2620.0","2624.7"
"2017.0","2560.1","2572.1","2584.4","2606.0","2618.8","2616.5","2585.1","2583.8","2616.6","2641.0","2659.6","2660.8"
"2018.0","2590.4","2608.9","2616.8","2637.2","2646.9","2649.9","2616.7","2613.4","2644.8","2672.4","2690.4","2686.1"
"2019.0","2626.4","2638.2","2654.4","2675.8","2681.3","2682.1","2656.3","2654.9","2683.8","2708.0","2731.3","2729.1"
"2020.0","2665.0","2679.6","2667.3","2248.9","2286.5","2355.1","2401.7","2422.7","2474.9","2521.5","2537.3","2525.7"
"2021.0","2479.1","2498.8","2526.4","2550.6","2562.7","2571.6","2568.6","2568.5","2595.7","2641.6","2670.3","2686.3"
"2022.0","2625.5","2660.1","2680.4","2703.3","2712.5","2712.1","2702.4","2703.7","2730.8","2758.3","2773.3","2776.9"
"2023.0","2722.7","2739.1","2759.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
