"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379800800000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Private Service Providing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Private Service Providing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","1677.9","1685.0","1697.3","1692.0","1699.6","1707.5","1696.8","1697.6","1701.7","1701.4","1711.3","1719.1"
"1991.0","1653.0","1656.2","1662.2","1662.3","1668.1","1670.8","1649.5","1646.5","1655.1","1660.4","1671.2","1679.7"
"1992.0","1632.5","1633.1","1637.6","1648.4","1657.1","1661.7","1650.5","1646.2","1655.2","1678.4","1685.0","1697.0"
"1993.0","1646.0","1650.5","1650.9","1668.4","1678.2","1682.3","1678.8","1677.9","1682.5","1696.4","1706.0","1721.0"
"1994.0","1667.6","1673.9","1687.1","1702.1","1711.2","1718.8","1710.0","1712.6","1720.0","1731.2","1744.7","1758.7"
"1995.0","1696.4","1707.4","1716.5","1726.6","1735.4","1743.9","1728.5","1736.1","1747.2","1764.6","1782.0","1792.3"
"1996.0","1720.3","1742.8","1754.6","1779.0","1794.1","1799.8","1781.3","1783.5","1793.4","1808.1","1825.1","1840.0"
"1997.0","1785.2","1798.3","1811.5","1825.9","1839.5","1851.1","1840.1","1843.1","1859.4","1875.0","1895.2","1912.9"
"1998.0","1851.0","1862.9","1874.4","1886.6","1900.6","1911.1","1902.9","1904.9","1910.9","1927.8","1943.5","1959.8"
"1999.0","1901.1","1914.4","1929.1","1947.0","1953.6","1968.5","1957.2","1957.1","1956.1","1974.7","1988.9","2010.1"
"2000.0","1944.0","1951.2","1966.8","1980.1","1983.4","1996.1","1983.6","1980.0","1991.8","1999.9","2021.1","2040.4"
"2001.0","1969.0","1974.8","1987.1","1996.8","2007.0","2017.7","1997.2","1998.0","1994.3","2001.6","2017.8","2026.2"
"2002.0","1966.9","1972.1","1987.6","1994.6","2003.2","2017.8","1999.0","2000.9","2002.8","2015.3","2030.1","2038.2"
"2003.0","1975.9","1975.4","1990.7","2004.0","2012.8","2020.7","2010.6","2008.5","2010.5","2022.7","2035.2","2044.0"
"2004.0","1978.9","1984.9","2000.7","2016.1","2027.9","2039.8","2034.5","2031.3","2034.1","2052.1","2063.8","2073.9"
"2005.0","2011.2","2018.7","2025.8","2054.0","2064.6","2067.3","2064.0","2057.2","2066.5","2076.4","2088.8","2097.5"
"2006.0","2037.1","2045.0","2057.3","2079.5","2089.8","2095.0","2086.1","2081.6","2085.7","2100.3","2114.4","2122.1"
"2007.0","2066.8","2070.3","2083.4","2100.4","2112.3","2119.3","2112.7","2106.8","2103.9","2122.4","2136.7","2142.0"
"2008.0","2085.0","2090.1","2098.6","2122.0","2127.9","2126.7","2117.5","2109.6","2106.8","2118.9","2116.2","2116.5"
"2009.0","2049.9","2050.3","2045.8","2056.1","2065.8","2061.9","2050.8","2039.5","2035.6","2059.7","2064.2","2063.0"
"2010.0","2010.2","2007.4","2021.6","2046.9","2061.9","2062.5","2056.1","2051.5","2052.6","2074.5","2084.4","2089.9"
"2011.0","2033.3","2041.6","2054.8","2077.7","2082.7","2082.6","2072.4","2065.7","2075.8","2087.2","2100.7","2105.2"
"2012.0","2051.4","2060.6","2082.5","2094.3","2107.5","2110.5","2097.9","2097.4","2104.7","2121.4","2138.0","2139.7"
"2013.0","2078.1","2090.1","2104.8","2122.9","2130.8","2135.9","2121.7","2120.4","2128.2","2141.9","2161.5","2161.0"
"2014.0","2103.3","2102.8","2120.2","2148.4","2161.2","2166.3","2152.7","2153.6","2165.8","2186.2","2203.4","2208.2"
"2015.0","2140.9","2147.8","2158.0","2185.9","2202.2","2206.6","2195.0","2190.0","2197.5","2225.6","2240.5","2244.8"
"2016.0","2179.2","2188.0","2204.7","2235.5","2240.8","2245.1","2244.1","2239.0","2253.4","2266.3","2279.6","2284.8"
"2017.0","2228.1","2234.0","2244.4","2267.0","2280.5","2283.0","2273.2","2270.7","2282.7","2302.0","2318.6","2320.0"
"2018.0","2257.8","2269.8","2276.5","2296.8","2308.5","2314.4","2303.2","2298.8","2308.0","2331.0","2346.6","2343.3"
"2019.0","2293.3","2297.2","2311.6","2333.6","2341.2","2346.3","2337.9","2335.5","2344.0","2363.6","2384.4","2383.5"
"2020.0","2327.0","2335.4","2321.6","1914.9","1957.7","2030.4","2097.2","2113.8","2144.8","2190.2","2205.3","2195.5"
"2021.0","2156.0","2169.8","2196.0","2219.6","2233.6","2245.7","2258.5","2258.1","2266.5","2308.7","2335.5","2351.8"
"2022.0","2297.4","2326.8","2346.7","2369.5","2380.7","2382.8","2391.0","2390.2","2398.1","2421.1","2433.9","2437.4"
"2023.0","2389.7","2400.4","2419.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
