"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379801500000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Mining, Logging, and Construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Mining, Logging and Construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","109.9","109.8","113.5","115.0","118.8","121.3","121.7","121.4","119.4","116.0","111.9","107.1"
"1991.0","95.5","93.3","94.9","98.1","100.3","101.3","101.5","101.5","100.4","100.8","97.9","93.6"
"1992.0","84.8","83.0","85.1","90.9","93.4","95.2","95.8","96.2","95.3","95.3","94.2","91.9"
"1993.0","84.9","84.3","85.5","90.3","93.5","95.1","96.9","97.5","98.5","97.6","96.7","93.9"
"1994.0","82.5","79.5","84.0","91.5","95.7","98.7","100.2","101.8","102.3","103.0","101.4","98.9"
"1995.0","89.1","84.7","88.3","94.0","96.0","98.1","98.3","100.5","100.9","100.5","98.0","94.7"
"1996.0","82.1","84.1","87.9","94.0","98.5","102.2","104.5","106.4","106.8","108.8","108.9","105.9"
"1997.0","97.0","95.8","99.1","103.7","106.3","109.7","112.5","113.4","111.9","111.3","109.7","108.6"
"1998.0","100.4","99.3","101.4","106.5","108.5","112.1","115.0","115.2","113.7","114.7","113.6","112.7"
"1999.0","103.9","105.5","108.2","114.1","116.7","119.5","121.7","122.5","120.7","120.9","121.2","118.3"
"2000.0","110.8","107.9","114.7","120.6","122.6","125.3","123.0","124.0","123.5","123.3","121.4","119.5"
"2001.0","112.3","112.3","116.1","119.9","122.9","125.8","126.9","127.8","127.0","125.7","124.7","122.0"
"2002.0","114.9","114.8","116.6","118.7","121.5","123.5","124.3","125.3","123.1","123.1","121.7","119.5"
"2003.0","113.0","109.8","112.3","118.9","123.0","124.9","127.3","127.4","125.6","125.3","124.6","121.5"
"2004.0","115.1","113.6","118.5","120.9","124.5","127.3","129.0","129.8","129.9","128.9","127.9","125.2"
"2005.0","116.6","114.7","117.6","125.3","129.1","131.5","133.4","133.4","132.7","133.0","134.3","130.1"
"2006.0","122.8","122.2","126.3","131.6","134.8","136.0","135.8","135.8","134.1","133.1","130.5","128.8"
"2007.0","121.7","117.9","121.7","126.1","128.9","131.3","132.5","133.3","132.4","131.8","129.9","125.9"
"2008.0","120.4","118.6","121.2","126.0","127.2","128.5","128.6","128.2","125.3","123.1","120.1","114.9"
"2009.0","104.6","101.9","103.2","104.3","105.1","106.2","106.8","106.3","103.9","103.8","101.0","98.6"
"2010.0","92.0","89.1","93.5","99.5","101.7","103.2","104.6","104.6","103.1","103.8","102.8","99.3"
"2011.0","90.6","90.0","95.2","100.9","101.6","103.2","104.9","105.2","104.4","104.6","103.3","100.0"
"2012.0","93.4","93.5","96.0","98.2","98.9","101.4","102.3","102.9","103.0","102.6","101.3","99.9"
"2013.0","94.3","94.1","98.2","101.5","102.4","104.4","105.4","107.0","105.8","106.0","104.7","99.3"
"2014.0","95.3","94.0","99.1","104.2","106.0","107.9","109.5","109.4","108.8","109.1","108.5","105.5"
"2015.0","99.1","99.3","101.4","108.8","111.4","113.4","115.0","115.7","115.2","115.4","114.0","112.1"
"2016.0","106.0","104.9","109.6","112.7","114.3","116.3","118.0","118.3","117.8","118.7","117.1","115.0"
"2017.0","110.3","111.1","112.0","116.1","118.9","119.6","119.9","119.6","118.7","118.7","117.8","115.5"
"2018.0","108.8","110.3","112.9","117.8","118.7","121.0","121.3","121.8","121.0","123.0","120.9","119.1"
"2019.0","114.0","113.2","115.1","120.9","122.0","123.2","124.2","124.8","124.0","123.9","122.9","119.7"
"2020.0","116.0","115.7","117.8","86.1","107.0","114.0","116.1","118.0","117.6","118.7","118.0","117.1"
"2021.0","112.1","109.3","114.6","119.7","120.3","121.2","123.5","123.9","123.3","124.1","122.8","122.2"
"2022.0","115.9","116.7","120.6","124.6","124.7","125.8","127.3","127.1","127.1","126.7","124.4","123.2"
"2023.0","121.6","120.9","120.7",NA,NA,NA,NA,NA,NA,NA,NA,NA
