"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379803000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","353.2","353.1","353.6","352.3","352.3","353.2","349.0","350.5","349.6","346.3","344.3","343.4"
"1991.0","334.6","332.7","332.5","331.1","329.6","330.9","324.3","327.0","327.3","324.6","323.7","322.5"
"1992.0","315.0","313.9","313.7","313.0","313.9","315.8","311.4","311.5","312.3","311.5","311.2","310.9"
"1993.0","307.0","306.4","307.0","306.0","307.3","308.6","307.9","308.7","309.5","307.8","307.6","308.0"
"1994.0","303.9","302.6","304.4","304.7","305.2","307.6","306.1","307.8","308.9","307.1","307.4","308.1"
"1995.0","302.6","302.1","303.4","303.1","304.3","306.2","302.0","304.0","303.2","302.1","301.9","302.7"
"1996.0","295.6","296.6","298.1","299.1","300.3","302.3","297.7","298.0","297.2","296.4","296.5","297.9"
"1997.0","293.4","293.8","295.1","295.9","296.6","299.5","295.7","298.9","300.0","299.8","300.2","301.6"
"1998.0","297.2","298.2","299.0","298.5","299.5","300.4","297.4","297.5","297.1","296.6","296.5","296.7"
"1999.0","294.3","293.9","295.3","294.6","295.5","297.2","293.9","293.1","292.5","292.2","292.8","293.8"
"2000.0","290.5","290.2","291.2","291.6","291.4","293.5","292.6","293.3","292.7","291.5","291.9","292.8"
"2001.0","287.4","286.7","286.6","284.5","283.2","283.7","280.5","279.4","278.5","274.1","272.3","272.6"
"2002.0","267.3","266.7","266.3","264.5","264.9","265.1","262.5","262.7","262.6","260.1","259.3","258.5"
"2003.0","250.3","248.9","248.9","246.3","246.1","246.6","242.8","242.1","241.9","240.7","239.6","238.9"
"2004.0","235.3","235.7","235.9","236.1","236.7","238.0","237.3","236.7","235.3","234.9","234.9","234.9"
"2005.0","229.7","230.4","231.0","231.0","231.5","231.3","230.2","231.3","230.5","228.8","230.6","229.6"
"2006.0","229.5","228.8","228.5","228.4","228.4","229.0","227.3","227.3","226.3","225.7","224.5","224.2"
"2007.0","222.0","221.2","221.6","221.3","222.0","223.4","222.4","222.0","220.4","220.6","221.9","222.3"
"2008.0","218.3","219.2","219.4","218.4","217.4","219.5","217.5","216.7","214.8","213.1","212.6","210.4"
"2009.0","205.0","201.8","199.0","197.5","196.2","195.5","193.1","192.3","191.0","191.3","190.7","190.8"
"2010.0","188.2","186.9","186.9","187.6","188.0","189.3","188.6","188.4","187.7","187.8","187.6","188.1"
"2011.0","186.3","185.8","186.4","186.7","186.9","187.7","187.2","187.0","186.0","185.9","185.6","185.4"
"2012.0","183.6","183.4","183.7","183.4","183.6","184.5","183.9","183.7","182.9","182.6","181.8","181.9"
"2013.0","180.2","180.1","179.9","180.5","180.8","182.1","181.4","181.7","181.4","181.3","181.6","181.7"
"2014.0","179.8","179.6","180.2","179.6","180.9","181.7","181.4","181.7","180.8","180.8","181.2","181.8"
"2015.0","180.2","180.2","180.4","180.5","181.4","182.1","182.1","181.8","181.0","180.3","180.5","180.9"
"2016.0","179.0","179.3","179.2","179.6","180.2","181.7","181.5","181.4","180.7","180.8","180.9","181.8"
"2017.0","179.8","179.8","180.0","180.7","181.3","182.7","182.6","182.3","181.3","181.3","182.1","182.3"
"2018.0","180.6","180.4","180.2","180.8","181.8","183.6","183.7","183.5","183.0","183.6","183.6","184.4"
"2019.0","182.9","183.3","183.6","183.6","184.1","185.5","185.8","185.1","183.4","183.7","183.7","184.6"
"2020.0","183.1","183.1","182.5","162.5","167.0","172.6","173.0","173.5","173.3","172.9","173.0","173.9"
"2021.0","172.1","172.0","172.6","172.2","172.7","173.9","174.6","174.7","174.0","174.9","176.1","177.1"
"2022.0","175.1","176.8","178.1","178.5","179.2","180.7","181.1","180.6","179.8","179.7","180.9","181.6"
"2023.0","180.1","181.7","181.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
