"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379803100000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Durable Goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Durable Goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","2003 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2003.0","127.1","126.2","126.1","125.0","125.4","126.3","123.6","123.9","123.8","123.9","123.7","123.3"
"2004.0","121.4","122.1","122.3","123.1","123.3","124.0","123.9","124.0","123.0","123.0","122.9","123.0"
"2005.0","119.8","121.1","121.8","122.5","122.6","121.7","121.0","122.1","121.9","120.5","122.4","121.2"
"2006.0","122.7","122.4","122.4","122.3","122.2","122.8","121.7","122.0","121.5","120.8","120.5","120.2"
"2007.0","119.2","118.4","118.5","118.7","119.0","119.7","118.8","119.0","117.8","117.9","119.0","119.0"
"2008.0","116.8","118.0","117.9","116.9","115.9","117.1","116.0","115.5","114.4","113.2","113.1","111.4"
"2009.0","108.2","105.9","104.3","103.4","102.4","101.5","100.4","100.1","99.4","99.2","98.7","98.7"
"2010.0","97.7","97.1","97.3","97.7","98.1","98.6","98.4","98.3","97.9","97.9","97.8","98.2"
"2011.0","97.2","96.9","97.4","97.8","97.6","98.2","97.8","97.6","97.0","96.9","96.8","96.6"
"2012.0","96.0","96.0","96.3","96.4","96.6","97.2","96.9","96.8","96.2","96.0","95.6","95.6"
"2013.0","95.0","94.9","94.9","94.9","95.0","95.7","95.6","95.5","95.1","95.2","95.4","95.2"
"2014.0","94.1","94.0","94.3","93.9","94.6","95.0","94.7","94.9","94.5","94.5","94.6","94.8"
"2015.0","94.0","94.0","94.2","94.0","94.4","94.8","94.8","94.6","94.1","93.3","93.2","93.1"
"2016.0","92.6","92.8","92.4","92.8","93.1","93.9","93.8","93.5","93.0","92.9","92.8","93.2"
"2017.0","92.6","92.7","93.1","93.2","93.6","94.6","94.6","94.4","93.8","93.9","94.1","94.4"
"2018.0","93.7","93.8","93.8","94.1","94.6","95.7","95.7","95.5","95.3","95.4","95.4","95.8"
"2019.0","95.4","95.4","95.6","95.4","95.7","96.4","96.6","96.4","95.7","95.6","95.5","95.9"
"2020.0","95.2","95.1","94.8","82.4","86.6","89.5","89.5","89.9","89.6","89.8","89.6","90.1"
"2021.0","88.9","88.8","88.6","88.8","89.1","89.7","90.2","90.1","89.7","90.0","90.5","90.9"
"2022.0","90.0","90.7","91.1","91.2","91.5","92.3","92.5","92.1","91.6","91.8","92.5","92.9"
"2023.0","92.2","93.4","93.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
