"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379803200000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Non-Durable Goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Non-Durable Goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","2003 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2003.0","123.2","122.7","122.8","121.3","120.7","120.3","119.2","118.2","118.1","116.8","115.9","115.6"
"2004.0","113.9","113.6","113.6","113.0","113.4","114.0","113.4","112.7","112.3","111.9","112.0","111.9"
"2005.0","109.9","109.3","109.2","108.5","108.9","109.6","109.2","109.2","108.6","108.3","108.2","108.4"
"2006.0","106.8","106.4","106.1","106.1","106.2","106.2","105.6","105.3","104.8","104.9","104.0","104.0"
"2007.0","102.8","102.8","103.1","102.6","103.0","103.7","103.6","103.0","102.6","102.7","102.9","103.3"
"2008.0","101.5","101.2","101.5","101.5","101.5","102.4","101.5","101.2","100.4","99.9","99.5","99.0"
"2009.0","96.8","95.9","94.7","94.1","93.8","94.0","92.7","92.2","91.6","92.1","92.0","92.1"
"2010.0","90.5","89.8","89.6","89.9","89.9","90.7","90.2","90.1","89.8","89.9","89.8","89.9"
"2011.0","89.1","88.9","89.0","88.9","89.3","89.5","89.4","89.4","89.0","89.0","88.8","88.8"
"2012.0","87.6","87.4","87.4","87.0","87.0","87.3","87.0","86.9","86.7","86.6","86.2","86.3"
"2013.0","85.2","85.2","85.0","85.6","85.8","86.4","85.8","86.2","86.3","86.1","86.2","86.5"
"2014.0","85.7","85.6","85.9","85.7","86.3","86.7","86.7","86.8","86.3","86.3","86.6","87.0"
"2015.0","86.2","86.2","86.2","86.5","87.0","87.3","87.3","87.2","86.9","87.0","87.3","87.8"
"2016.0","86.4","86.5","86.8","86.8","87.1","87.8","87.7","87.9","87.7","87.9","88.1","88.6"
"2017.0","87.2","87.1","86.9","87.5","87.7","88.1","88.0","87.9","87.5","87.4","88.0","87.9"
"2018.0","86.9","86.6","86.4","86.7","87.2","87.9","88.0","88.0","87.7","88.2","88.2","88.6"
"2019.0","87.5","87.9","88.0","88.2","88.4","89.1","89.2","88.7","87.7","88.1","88.2","88.7"
"2020.0","87.9","88.0","87.7","80.1","80.4","83.1","83.5","83.6","83.7","83.1","83.4","83.8"
"2021.0","83.2","83.2","84.0","83.4","83.6","84.2","84.4","84.6","84.3","84.9","85.6","86.2"
"2022.0","85.1","86.1","87.0","87.3","87.7","88.4","88.6","88.5","88.2","87.9","88.4","88.7"
"2023.0","87.9","88.3","88.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
