"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379804000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Trade, Transportation, and Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Trade, Transportation, and Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","518.7","510.8","511.7","507.0","507.9","509.2","504.3","505.8","507.2","509.1","518.2","525.1"
"1991.0","492.1","482.7","482.5","480.0","481.4","481.6","472.9","472.5","476.6","477.5","486.1","494.1"
"1992.0","473.8","464.9","464.0","464.8","467.0","467.7","460.9","460.2","465.3","475.3","484.9","495.5"
"1993.0","473.1","465.7","464.4","467.4","469.5","470.5","466.8","466.0","469.4","478.3","486.8","497.9"
"1994.0","478.5","471.8","475.0","476.9","479.0","481.6","477.3","477.7","482.3","491.4","503.0","513.0"
"1995.0","489.4","481.7","481.4","484.3","487.6","489.5","485.4","487.6","490.0","498.4","510.2","517.7"
"1996.0","491.0","487.5","489.1","494.7","499.3","501.0","493.6","494.4","496.5","502.7","512.6","523.1"
"1997.0","501.4","495.4","497.6","495.9","499.0","500.9","496.2","492.9","502.7","511.0","523.8","534.7"
"1998.0","508.1","501.3","502.7","503.9","508.4","511.3","509.7","510.2","515.2","521.0","532.1","542.2"
"1999.0","517.4","513.5","516.9","520.3","523.2","527.6","524.0","525.1","525.6","533.3","545.7","558.1"
"2000.0","529.3","523.0","524.8","529.9","532.6","535.1","528.9","531.3","534.6","541.3","554.9","566.4"
"2001.0","540.3","531.1","532.7","529.8","531.4","533.8","525.4","525.7","527.1","531.6","544.2","552.4"
"2002.0","527.6","518.9","523.1","521.6","525.3","529.1","522.4","524.1","526.4","533.0","543.3","554.7"
"2003.0","526.2","518.4","521.2","523.4","526.4","529.8","523.1","523.1","526.0","532.6","542.6","551.0"
"2004.0","522.5","518.7","520.5","520.8","525.3","528.6","524.0","523.5","524.7","531.5","541.4","549.9"
"2005.0","526.5","520.7","522.4","525.0","528.6","529.6","527.3","526.4","527.3","531.9","542.4","552.2"
"2006.0","528.7","520.8","524.8","525.3","528.6","530.1","525.3","523.9","524.7","530.6","542.0","549.5"
"2007.0","528.4","519.0","521.0","521.8","526.8","530.1","526.9","524.8","524.6","529.1","541.6","549.4"
"2008.0","529.6","519.8","521.5","522.9","526.1","526.7","521.2","519.4","520.0","524.2","527.6","533.6"
"2009.0","507.4","499.2","496.2","494.1","498.3","500.6","493.4","492.0","494.1","500.2","509.4","514.9"
"2010.0","495.1","486.0","489.5","492.6","497.5","500.3","494.1","492.7","493.7","499.2","508.8","517.7"
"2011.0","496.5","491.2","492.1","496.1","498.0","499.1","493.8","493.1","495.4","499.2","510.8","518.3"
"2012.0","497.9","492.7","496.5","495.9","501.7","502.2","497.7","497.9","499.1","504.4","518.3","523.1"
"2013.0","501.4","496.2","498.2","499.8","503.5","506.0","501.3","502.1","503.3","508.2","521.5","528.4"
"2014.0","505.6","499.7","503.5","505.6","509.6","512.8","506.7","507.0","507.8","513.4","526.7","534.0"
"2015.0","508.1","502.5","504.4","508.3","512.9","516.9","510.8","511.1","511.7","517.5","530.4","536.8"
"2016.0","512.4","507.2","509.1","511.7","515.4","516.9","514.6","514.3","515.8","520.3","533.2","540.4"
"2017.0","518.5","510.9","510.8","513.0","516.4","518.4","514.4","515.8","517.9","523.1","536.9","542.8"
"2018.0","520.7","515.3","515.8","518.0","522.2","524.9","521.3","519.1","520.6","527.3","542.7","546.9"
"2019.0","529.5","520.9","521.9","522.3","525.0","528.6","526.3","525.8","526.8","533.9","549.4","554.5"
"2020.0","531.1","525.0","523.5","431.0","447.0","479.3","493.3","495.0","501.1","515.2","528.4","540.9"
"2021.0","523.2","516.7","516.6","513.8","515.5","519.0","519.4","520.0","521.6","533.1","549.5","562.9"
"2022.0","543.4","544.6","545.0","543.7","544.6","547.5","548.1","547.8","547.2","555.0","563.0","573.2"
"2023.0","554.5","548.9","547.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
