"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379804100000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Wholesale Trade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Wholesale Trade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","130.7","130.6","130.9","130.0","129.8","130.1","129.8","129.6","129.1","127.5","127.9","127.6"
"1991.0","123.8","122.6","122.8","122.4","122.3","122.0","120.3","119.5","119.5","118.3","117.9","118.4"
"1992.0","115.3","114.9","114.8","114.9","114.8","115.1","114.2","113.4","112.7","113.5","112.8","113.0"
"1993.0","111.5","111.4","111.6","112.7","112.8","112.9","112.8","112.6","111.9","112.1","112.2","113.0"
"1994.0","111.8","111.7","112.2","111.5","111.7","112.2","112.3","112.6","112.4","112.9","113.4","114.0"
"1995.0","112.4","112.8","113.3","114.1","114.1","114.6","114.1","114.1","114.0","113.7","114.0","114.6"
"1996.0","112.1","113.0","113.5","113.5","114.3","114.9","114.3","114.2","114.2","115.2","115.0","115.8"
"1997.0","114.4","115.0","115.9","116.3","116.9","117.6","117.7","117.6","117.3","118.0","118.5","119.3"
"1998.0","116.9","117.3","118.1","119.6","119.7","120.5","120.6","120.2","119.8","120.5","120.7","120.9"
"1999.0","118.7","119.1","120.0","121.3","121.7","122.6","122.6","123.3","122.4","123.6","123.8","124.9"
"2000.0","122.9","123.2","124.1","125.9","126.0","127.0","126.4","126.5","126.1","126.0","126.5","127.3"
"2001.0","127.8","128.0","128.5","128.8","128.7","129.0","128.9","128.4","128.1","127.7","127.9","128.6"
"2002.0","127.3","126.9","127.9","127.9","128.2","128.4","127.7","127.6","127.0","128.3","128.2","129.0"
"2003.0","126.8","126.7","127.6","127.4","127.6","127.9","127.1","127.1","127.0","127.0","127.5","128.0"
"2004.0","125.4","125.6","126.4","126.8","127.3","127.8","128.0","127.7","127.0","127.5","127.3","127.6"
"2005.0","127.2","126.5","127.1","127.6","127.8","128.0","127.9","127.9","127.2","127.3","127.5","128.1"
"2006.0","125.9","126.0","127.0","127.3","127.7","128.7","128.7","128.6","127.7","127.3","127.2","127.5"
"2007.0","126.1","125.6","126.4","127.3","127.5","128.7","129.1","128.6","127.7","127.8","128.3","128.6"
"2008.0","127.2","127.0","127.4","127.6","128.2","128.6","128.8","128.2","127.2","127.3","126.3","126.0"
"2009.0","124.4","123.4","123.0","122.2","121.9","121.8","120.8","120.0","118.9","119.2","118.8","118.9"
"2010.0","117.6","116.9","117.4","118.0","118.4","118.7","118.8","118.5","117.8","118.1","117.9","118.2"
"2011.0","117.2","117.2","117.8","118.7","118.9","119.4","119.7","119.6","119.1","119.2","119.2","119.6"
"2012.0","117.6","117.8","118.7","118.7","119.0","119.7","119.3","119.1","118.3","118.4","118.2","118.7"
"2013.0","117.1","117.1","117.7","118.1","118.6","119.1","118.5","118.2","118.0","117.5","117.9","118.0"
"2014.0","116.5","116.6","117.2","117.2","117.6","118.5","117.7","117.2","116.3","116.1","116.4","116.7"
"2015.0","114.0","113.8","113.8","114.5","115.2","115.8","115.4","115.4","114.5","114.6","114.5","114.5"
"2016.0","113.4","113.2","113.2","113.3","113.8","113.9","114.4","114.2","113.6","113.5","113.5","113.6"
"2017.0","113.4","112.9","113.2","113.9","114.4","115.3","115.2","115.4","115.1","115.4","115.8","116.2"
"2018.0","116.0","116.2","116.5","116.9","117.3","117.9","117.9","117.8","116.8","117.3","117.2","117.2"
"2019.0","116.3","116.3","116.6","117.1","117.1","117.9","117.9","117.9","116.9","117.2","117.2","117.4"
"2020.0","115.6","115.6","115.4","105.3","106.4","108.4","109.1","109.6","109.6","110.2","110.5","110.9"
"2021.0","110.1","110.2","110.7","111.2","111.6","112.3","112.8","112.8","112.4","113.7","114.4","115.2"
"2022.0","115.6","116.4","117.2","118.1","118.6","119.4","120.5","120.8","120.4","120.8","121.2","121.6"
"2023.0","120.2","121.1","120.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
