"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379804200000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Retail Trade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Retail Trade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","310.0","301.8","301.4","297.6","298.2","298.9","297.1","298.5","298.3","300.8","309.3","316.3"
"1991.0","289.4","280.8","280.0","278.9","280.1","280.5","276.1","276.9","277.7","279.1","288.0","294.5"
"1992.0","278.9","270.8","269.6","270.1","271.7","271.9","270.2","270.6","272.3","280.3","290.5","299.2"
"1993.0","279.3","272.0","270.0","271.4","273.0","273.9","273.3","273.0","273.4","279.3","288.0","297.8"
"1994.0","281.0","274.5","276.3","278.4","280.6","282.4","280.1","281.3","283.7","289.3","301.3","310.7"
"1995.0","291.5","283.0","283.1","283.9","287.0","288.0","286.2","289.6","289.7","294.7","306.2","313.8"
"1996.0","293.2","287.8","288.6","293.0","296.1","297.5","292.5","294.2","293.3","296.1","306.3","316.4"
"1997.0","297.8","291.0","291.2","289.7","292.3","293.5","292.3","294.1","295.0","300.3","311.8","321.9"
"1998.0","301.3","294.7","295.0","293.9","297.4","299.8","298.9","299.4","301.1","305.0","316.2","326.2"
"1999.0","306.8","302.4","304.6","304.9","307.2","310.6","308.9","309.9","309.0","312.5","325.0","336.1"
"2000.0","312.4","306.3","306.9","309.7","312.1","314.7","311.3","314.0","313.9","318.9","332.3","342.1"
"2001.0","317.5","308.6","310.0","305.4","307.1","309.7","304.4","306.6","305.3","308.3","321.2","329.1"
"2002.0","308.3","300.6","303.2","300.5","303.1","306.6","303.2","305.1","304.4","307.1","317.9","328.3"
"2003.0","304.1","296.7","298.9","300.4","303.3","306.9","304.2","305.3","304.8","310.0","319.9","327.9"
"2004.0","304.8","300.6","301.6","301.4","305.2","307.7","306.3","307.0","305.4","311.4","320.9","328.2"
"2005.0","308.1","303.0","303.6","305.2","308.1","308.6","308.6","308.3","306.2","310.3","319.4","327.2"
"2006.0","309.1","300.8","303.0","303.3","304.8","305.8","303.9","302.5","301.0","306.6","317.3","322.7"
"2007.0","307.1","298.6","299.4","299.8","303.7","305.5","304.7","303.8","301.6","306.9","318.0","323.9"
"2008.0","307.6","298.3","299.6","300.0","302.3","303.5","300.6","300.2","298.4","302.2","306.8","311.6"
"2009.0","291.3","284.7","282.6","281.4","285.7","287.5","285.4","285.3","283.9","288.8","297.7","302.0"
"2010.0","286.7","278.6","281.8","283.7","287.8","289.9","288.0","287.7","284.7","289.5","298.8","304.8"
"2011.0","288.2","283.1","283.1","285.7","286.8","287.5","285.5","285.9","284.0","287.8","298.5","303.8"
"2012.0","289.4","283.6","286.1","286.7","290.7","291.2","290.2","291.0","288.5","292.6","305.5","308.1"
"2013.0","291.6","286.6","287.5","288.3","290.8","293.0","292.2","293.2","290.6","294.9","306.3","311.1"
"2014.0","293.6","288.4","290.8","292.2","295.0","297.2","296.2","296.9","294.0","298.4","309.6","314.0"
"2015.0","296.0","290.7","292.1","294.6","298.1","301.1","298.3","298.4","295.4","299.6","310.2","313.4"
"2016.0","296.5","292.0","293.6","295.5","298.1","299.7","299.7","299.6","295.4","298.8","307.7","311.2"
"2017.0","296.5","291.3","290.8","293.0","294.4","295.6","294.7","294.4","291.1","294.6","305.0","308.0"
"2018.0","293.4","288.8","289.0","290.3","293.5","295.0","293.7","292.3","289.4","292.8","303.5","305.7"
"2019.0","291.8","285.5","286.2","285.8","287.2","289.1","287.8","287.1","283.6","286.9","297.2","300.0"
"2020.0","288.1","284.1","282.4","213.9","222.9","249.6","263.0","264.8","265.8","273.7","279.9","285.0"
"2021.0","277.6","273.9","275.2","275.0","277.9","280.1","280.8","280.6","275.7","282.6","290.4","296.1"
"2022.0","283.5","282.6","282.5","282.3","283.0","284.9","285.9","285.8","281.4","285.4","289.5","293.5"
"2023.0","283.6","280.1","281.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
