"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379804300000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Transportation and Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Transportation, Warehousing, and Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","78.0","78.4","79.4","79.4","79.9","80.2","77.4","77.7","79.8","80.8","81.0","81.2"
"1991.0","78.9","79.3","79.7","78.7","79.0","79.1","76.5","76.1","79.4","80.1","80.2","81.2"
"1992.0","79.6","79.2","79.6","79.8","80.5","80.7","76.5","76.2","80.3","81.5","81.6","83.3"
"1993.0","82.3","82.3","82.8","83.3","83.7","83.7","80.7","80.4","84.1","86.9","86.6","87.1"
"1994.0","85.7","85.6","86.5","87.0","86.7","87.0","84.9","83.8","86.2","89.2","88.3","88.3"
"1995.0","85.5","85.9","85.0","86.3","86.5","86.9","85.1","83.9","86.3","90.0","90.0","89.3"
"1996.0","85.7","86.7","87.0","88.2","88.9","88.6","86.8","86.0","89.0","91.4","91.3","90.9"
"1997.0","89.2","89.4","90.5","89.9","89.8","89.8","86.2","81.2","90.4","92.7","93.5","93.5"
"1998.0","89.9","89.3","89.6","90.4","91.3","91.0","90.2","90.6","94.3","95.5","95.2","95.1"
"1999.0","91.9","92.0","92.3","94.1","94.3","94.4","92.5","91.9","94.2","97.2","96.9","97.1"
"2000.0","94.0","93.5","93.8","94.3","94.5","93.4","91.2","90.8","94.6","96.4","96.1","97.0"
"2001.0","95.0","94.5","94.2","95.6","95.6","95.1","92.1","90.7","93.7","95.6","95.1","94.7"
"2002.0","92.0","91.4","92.0","93.2","94.0","94.1","91.5","91.4","95.0","97.6","97.2","97.4"
"2003.0","95.3","95.0","94.7","95.6","95.5","95.0","91.8","90.7","94.2","95.6","95.2","95.1"
"2004.0","92.3","92.5","92.5","92.6","92.8","93.1","89.7","88.8","92.3","92.6","93.2","94.1"
"2005.0","91.2","91.2","91.7","92.2","92.7","93.0","90.8","90.2","93.9","94.3","95.5","96.9"
"2006.0","93.7","94.0","94.8","94.7","96.1","95.6","92.7","92.8","96.0","96.7","97.5","99.3"
"2007.0","95.2","94.8","95.2","94.7","95.6","95.9","93.1","92.4","95.3","94.4","95.3","96.9"
"2008.0","94.8","94.5","94.5","95.3","95.6","94.6","91.8","91.0","94.4","94.7","94.5","96.0"
"2009.0","91.7","91.1","90.6","90.5","90.7","91.3","87.2","86.7","91.3","92.2","92.9","94.0"
"2010.0","90.8","90.5","90.3","90.9","91.3","91.7","87.3","86.5","91.2","91.6","92.1","94.7"
"2011.0","91.1","90.9","91.2","91.7","92.3","92.2","88.6","87.6","92.3","92.2","93.1","94.9"
"2012.0","90.9","91.3","91.7","90.5","92.0","91.3","88.2","87.8","92.3","93.4","94.6","96.3"
"2013.0","92.7","92.5","93.0","93.4","94.1","93.9","90.6","90.7","94.7","95.8","97.3","99.3"
"2014.0","95.5","94.7","95.5","96.2","97.0","97.1","92.8","92.9","97.5","98.9","100.7","103.3"
"2015.0","98.1","98.0","98.5","99.2","99.6","100.0","97.1","97.3","101.8","103.3","105.7","108.9"
"2016.0","102.5","102.0","102.3","102.9","103.5","103.3","100.5","100.5","106.8","108.0","112.0","115.6"
"2017.0","108.6","106.7","106.8","106.1","107.6","107.5","104.5","106.0","111.7","113.1","116.1","118.6"
"2018.0","111.3","110.3","110.3","110.8","111.4","112.0","109.7","109.0","114.4","117.2","122.0","124.0"
"2019.0","121.4","119.1","119.1","119.4","120.7","121.6","120.6","120.8","126.3","129.8","135.0","137.1"
"2020.0","127.4","125.3","125.7","111.8","117.7","121.3","121.2","120.6","125.7","131.3","138.0","145.0"
"2021.0","135.5","132.6","130.7","127.6","126.0","126.6","125.8","126.6","133.5","136.8","144.7","151.6"
"2022.0","144.3","145.6","145.3","143.3","143.0","143.2","141.7","141.2","145.4","148.8","152.3","158.1"
"2023.0","150.7","147.7","146.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
