"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379805000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","62.6","63.0","63.0","62.7","63.3","64.1","63.4","63.4","63.2","63.0","63.3","63.6"
"1991.0","63.0","62.8","62.7","62.2","62.1","62.0","61.9","61.6","61.3","61.0","61.0","60.8"
"1992.0","60.0","60.0","60.3","59.5","60.0","60.9","59.4","58.9","58.2","59.6","59.3","59.7"
"1993.0","58.4","58.3","58.0","58.0","58.0","58.3","58.2","58.5","58.1","58.6","59.0","59.4"
"1994.0","58.7","58.8","59.3","59.0","59.5","60.4","60.5","60.8","60.3","60.7","61.1","61.7"
"1995.0","61.2","61.5","61.8","61.3","61.7","62.5","61.9","62.3","61.9","61.6","61.4","61.6"
"1996.0","60.1","60.7","60.7","60.7","60.8","61.0","60.7","61.2","61.0","61.5","62.0","62.4"
"1997.0","60.7","61.3","61.5","61.4","61.9","63.3","63.9","64.2","63.8","64.0","64.4","64.7"
"1998.0","64.6","65.2","65.6","64.7","65.2","65.9","66.2","66.2","65.8","65.0","65.5","65.9"
"1999.0","66.5","66.7","67.2","67.2","67.4","67.7","68.0","68.4","68.5","68.6","68.7","69.0"
"2000.0","69.7","70.1","71.0","70.7","71.1","71.8","73.2","67.8","73.3","72.8","73.6","74.2"
"2001.0","72.5","72.5","72.4","71.5","71.9","72.5","71.9","70.9","70.1","69.6","70.1","70.3"
"2002.0","69.6","69.5","70.0","68.1","68.7","68.6","67.9","67.5","67.1","66.4","66.8","66.5"
"2003.0","65.3","65.0","65.4","64.2","63.7","63.1","62.1","61.2","60.2","59.0","58.7","57.7"
"2004.0","56.8","56.4","56.5","56.5","56.6","56.8","56.9","56.7","55.9","55.8","56.0","56.1"
"2005.0","54.8","54.8","55.0","55.5","55.6","56.2","55.8","55.8","58.7","55.8","56.1","56.4"
"2006.0","55.5","56.2","55.5","55.5","55.8","56.0","55.9","56.0","56.5","56.5","56.4","56.9"
"2007.0","56.5","56.5","56.6","57.2","57.4","58.2","57.9","58.2","59.0","58.3","58.4","58.9"
"2008.0","57.9","57.9","57.7","58.0","58.0","57.7","57.4","57.2","56.6","56.4","56.2","56.2"
"2009.0","55.5","55.2","54.9","54.5","54.3","54.3","54.0","53.6","53.2","53.3","52.7","52.9"
"2010.0","51.8","51.4","51.7","51.9","51.8","52.5","52.3","51.9","52.0","51.2","51.1","51.4"
"2011.0","50.3","50.3","50.1","50.7","50.5","50.9","50.8","47.8","51.0","50.4","50.8","50.2"
"2012.0","49.7","49.5","49.9","49.5","49.5","49.8","49.9","50.4","49.6","49.2","50.1","49.5"
"2013.0","49.2","49.3","49.1","48.4","48.2","48.0","48.0","48.1","47.2","47.3","47.2","47.4"
"2014.0","46.6","46.5","46.2","46.4","46.4","46.7","46.6","46.6","46.3","46.5","46.5","46.9"
"2015.0","45.8","46.2","46.5","46.2","46.2","46.7","46.8","47.0","46.6","46.5","46.6","47.2"
"2016.0","46.2","46.3","46.2","46.7","44.5","47.1","47.3","47.3","46.6","46.6","46.8","47.0"
"2017.0","47.0","47.3","47.0","47.3","47.8","48.3","48.0","48.0","47.4","47.8","48.2","48.6"
"2018.0","48.5","49.0","49.0","49.6","49.5","50.3","50.1","50.0","49.7","50.2","50.6","50.5"
"2019.0","49.8","50.0","50.1","50.5","50.8","52.0","52.7","52.9","52.4","52.8","53.6","53.5"
"2020.0","53.8","53.8","53.4","49.5","49.1","49.2","49.7","49.7","50.1","50.7","50.8","50.6"
"2021.0","47.7","48.0","47.9","48.2","48.5","49.3","49.5","49.7","49.5","49.2","51.9","53.0"
"2022.0","53.0","53.0","53.2","53.9","53.9","54.2","55.0","54.9","54.6","54.3","54.6","54.7"
"2023.0","54.3","54.4","54.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
