"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379805500000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Financial Activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Financial Activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","198.5","199.4","199.7","199.3","200.8","201.5","201.6","200.9","198.8","196.4","196.4","197.4"
"1991.0","196.3","197.3","198.1","195.3","195.9","197.6","197.1","196.8","195.5","194.5","194.5","195.3"
"1992.0","194.5","194.9","195.6","195.3","196.2","197.3","196.5","197.3","196.2","195.4","193.7","195.0"
"1993.0","192.6","192.7","193.7","193.6","194.8","196.7","198.4","199.9","199.0","198.3","198.7","199.7"
"1994.0","197.8","198.2","199.2","199.6","200.3","202.4","202.3","202.6","201.7","199.5","198.6","199.2"
"1995.0","195.1","195.3","195.5","195.6","196.4","198.2","197.9","198.8","197.3","196.2","196.9","197.9"
"1996.0","192.7","193.6","194.7","196.0","197.1","199.0","198.4","199.4","199.2","199.3","200.1","201.6"
"1997.0","199.2","199.5","200.9","202.7","204.8","207.5","206.6","208.3","207.3","206.1","207.2","209.6"
"1998.0","207.9","208.9","209.4","208.7","210.7","213.1","213.9","213.9","211.8","214.3","215.0","218.1"
"1999.0","218.6","218.1","219.2","216.9","216.6","219.2","219.3","219.2","217.5","218.1","217.0","218.8"
"2000.0","216.6","217.2","216.9","217.0","216.9","218.7","218.6","218.4","216.4","216.8","217.9","219.6"
"2001.0","217.2","217.5","218.1","219.0","219.1","220.1","219.7","219.8","216.6","216.5","216.2","217.4"
"2002.0","216.8","216.6","216.9","216.7","216.5","218.1","218.8","219.1","217.6","217.3","217.9","218.7"
"2003.0","217.6","217.8","218.2","218.6","219.2","220.6","221.3","221.1","218.7","217.6","217.6","217.9"
"2004.0","216.7","216.1","216.4","216.9","217.5","218.7","220.8","220.1","217.4","216.7","217.1","218.2"
"2005.0","217.2","217.3","217.4","217.7","218.5","220.3","221.1","221.3","219.4","219.0","219.5","220.5"
"2006.0","218.8","218.4","218.4","219.4","219.6","221.2","221.8","221.5","219.7","219.6","219.8","220.3"
"2007.0","218.9","218.9","218.9","219.2","219.3","221.0","222.1","221.4","219.0","219.3","219.3","219.7"
"2008.0","217.1","217.3","217.5","217.4","217.2","218.2","218.7","217.5","214.6","213.5","212.9","212.0"
"2009.0","209.5","208.5","207.7","207.9","207.7","208.0","207.6","205.8","203.7","203.1","202.2","201.8"
"2010.0","200.1","199.5","199.4","199.3","200.0","200.7","201.3","201.1","199.7","200.0","200.2","201.2"
"2011.0","199.3","198.6","198.6","198.6","198.5","199.4","200.3","199.8","198.8","198.4","198.1","199.0"
"2012.0","197.8","197.7","198.2","198.3","199.2","200.8","201.7","201.8","200.6","200.7","201.2","202.1"
"2013.0","201.4","202.2","202.2","202.5","202.7","204.4","204.8","204.5","202.6","202.2","202.5","203.0"
"2014.0","201.4","201.2","201.3","201.9","202.9","205.1","205.6","205.7","204.3","204.8","205.4","206.7"
"2015.0","205.0","205.6","206.0","206.7","207.7","209.7","210.6","210.0","208.7","208.7","209.2","209.9"
"2016.0","208.9","209.2","209.5","209.9","210.3","212.7","213.2","213.5","211.9","212.1","212.8","213.4"
"2017.0","211.8","212.2","212.5","212.4","213.4","216.0","216.4","216.5","214.9","214.5","214.8","214.8"
"2018.0","214.4","215.0","215.1","214.9","215.4","217.1","217.7","217.2","215.4","216.0","216.1","216.2"
"2019.0","216.1","216.2","216.2","216.6","216.8","218.7","219.6","219.0","217.3","217.5","218.3","218.5"
"2020.0","217.6","217.8","217.6","211.7","212.2","214.2","215.3","215.8","214.7","215.0","214.7","215.1"
"2021.0","215.5","216.5","217.2","217.6","217.6","219.5","221.4","221.4","219.9","221.8","222.6","223.6"
"2022.0","222.5","223.8","224.5","226.0","226.1","227.7","228.9","229.1","227.5","228.6","229.3","230.2"
"2023.0","228.1","228.2","229.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
