"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379806000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Professional and Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Professional and Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","301.9","304.5","309.1","310.7","312.4","315.5","314.2","313.8","311.9","308.8","308.1","306.8"
"1991.0","297.9","298.8","302.6","302.9","303.7","304.9","300.0","299.6","299.0","299.6","299.1","298.7"
"1992.0","289.1","289.9","292.8","295.4","296.3","299.6","300.3","299.4","300.4","302.2","301.4","301.8"
"1993.0","293.1","296.2","297.9","303.5","306.0","308.2","309.0","308.8","308.6","307.6","307.6","308.3"
"1994.0","296.4","298.7","303.5","308.7","309.9","312.0","312.3","314.2","315.8","313.9","315.0","316.8"
"1995.0","306.1","309.5","314.2","314.4","316.5","318.7","319.4","323.1","324.0","326.1","328.0","328.8"
"1996.0","316.8","323.4","327.9","333.4","336.9","339.7","338.5","340.6","340.2","342.5","344.8","345.7"
"1997.0","338.6","343.2","348.9","353.7","356.7","362.1","363.4","366.6","366.6","370.9","372.6","375.0"
"1998.0","363.1","365.9","372.7","375.3","379.4","384.6","383.8","384.3","382.6","385.3","387.7","389.7"
"1999.0","375.6","379.3","386.3","391.0","391.5","396.4","396.5","397.2","393.7","396.7","398.2","400.9"
"2000.0","389.3","390.0","397.1","397.1","397.0","401.2","399.9","399.6","399.0","396.6","398.4","399.3"
"2001.0","388.2","389.5","393.9","396.6","398.1","399.7","394.5","396.8","394.8","393.6","393.2","391.3"
"2002.0","379.7","379.7","384.8","388.7","389.0","391.9","387.3","388.4","385.7","388.1","389.5","389.7"
"2003.0","381.3","379.7","384.0","390.1","391.4","393.3","393.4","394.2","395.8","397.7","399.4","401.3"
"2004.0","391.4","392.5","398.9","401.9","404.2","409.5","407.4","407.7","407.4","412.1","413.1","413.6"
"2005.0","398.1","399.2","401.7","413.3","413.5","415.9","417.4","415.9","415.7","417.9","419.0","419.8"
"2006.0","407.0","409.7","414.5","422.9","424.1","427.3","427.2","428.0","427.8","431.1","433.6","434.9"
"2007.0","420.2","420.9","425.2","433.2","435.2","438.4","436.8","437.3","434.3","438.0","441.2","440.9"
"2008.0","428.0","427.3","431.3","438.0","438.3","439.6","437.1","436.6","433.3","433.4","430.9","427.9"
"2009.0","414.3","411.6","411.0","414.3","412.8","412.3","409.8","409.0","405.3","411.8","412.2","409.6"
"2010.0","398.6","399.6","401.7","410.2","412.0","414.0","413.3","413.6","412.0","416.3","417.6","417.3"
"2011.0","408.6","408.6","412.5","420.9","420.1","422.8","420.5","420.6","421.4","424.1","425.3","424.2"
"2012.0","412.0","413.4","418.4","423.3","424.6","428.0","426.5","427.8","429.4","433.8","435.5","433.0"
"2013.0","419.4","421.7","426.7","432.6","434.3","437.8","433.8","434.9","434.4","439.0","443.0","439.0"
"2014.0","426.9","425.5","429.4","440.0","442.7","445.1","440.5","441.9","445.5","450.5","454.6","453.6"
"2015.0","437.9","437.6","439.8","448.7","453.2","454.3","453.3","452.2","452.7","463.3","466.8","464.0"
"2016.0","448.5","448.6","453.3","461.7","462.9","465.1","466.4","463.5","466.2","467.9","469.7","470.6"
"2017.0","455.4","454.2","457.5","464.5","468.1","470.7","467.5","466.8","469.5","474.1","476.7","475.1"
"2018.0","458.8","459.6","461.0","464.0","466.4","469.3","466.9","466.3","466.6","471.0","474.1","470.4"
"2019.0","457.9","458.7","461.4","470.6","471.2","473.9","472.1","472.5","474.1","478.5","481.3","478.1"
"2020.0","464.4","465.5","468.7","427.7","434.0","438.8","442.4","444.1","447.1","458.2","460.3","460.5"
"2021.0","452.4","456.1","461.8","470.4","471.6","474.1","474.7","473.0","476.2","487.6","491.2","490.9"
"2022.0","480.6","486.3","492.7","498.7","501.4","502.4","501.2","498.5","501.9","505.5","507.0","502.9"
"2023.0","494.2","494.9","499.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
