"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379806500000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Education and Health Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Private Education and Health Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","343.8","352.7","355.2","353.0","349.9","347.2","346.3","346.6","357.1","364.4","366.2","366.5"
"1991.0","357.7","367.5","365.9","367.3","364.9","360.9","356.5","356.0","367.3","375.8","378.2","377.3"
"1992.0","373.0","380.2","378.4","381.0","378.5","374.5","371.9","371.0","379.2","389.5","391.2","390.9"
"1993.0","382.8","390.5","388.9","389.9","386.9","382.6","381.5","381.1","387.6","399.1","400.0","401.1"
"1994.0","393.4","403.2","402.3","404.1","401.2","396.2","392.2","392.9","400.2","408.3","409.6","409.4"
"1995.0","396.8","409.5","408.7","409.4","404.5","400.5","390.9","391.3","404.0","415.9","419.0","419.0"
"1996.0","405.9","419.3","418.9","422.0","419.1","412.4","406.0","404.7","417.4","426.8","430.2","430.5"
"1997.0","418.8","430.9","429.4","432.1","429.3","424.5","418.8","420.1","431.0","440.5","444.7","444.7"
"1998.0","433.8","446.0","445.2","447.8","443.3","437.4","430.5","433.0","442.3","451.1","453.5","452.7"
"1999.0","441.1","452.8","451.5","453.9","450.2","444.3","438.9","438.2","447.4","457.1","459.9","460.5"
"2000.0","448.2","459.4","458.1","459.9","455.1","451.7","445.7","446.9","456.6","462.1","465.7","469.8"
"2001.0","456.7","468.2","468.6","469.3","467.3","465.3","459.5","460.3","467.8","474.3","478.3","477.2"
"2002.0","469.9","481.7","482.1","479.9","475.9","474.1","469.1","469.0","478.2","484.8","488.1","485.1"
"2003.0","473.8","483.7","484.6","484.9","480.8","476.7","472.0","470.1","479.0","487.8","490.3","488.9"
"2004.0","475.8","486.4","488.3","489.9","486.5","480.4","479.0","477.0","488.0","497.5","499.7","498.5"
"2005.0","488.2","501.4","498.6","503.2","500.6","489.9","489.2","486.9","499.7","511.1","512.9","510.2"
"2006.0","499.2","511.8","509.4","514.3","512.4","503.1","501.4","498.8","510.8","519.4","521.6","519.1"
"2007.0","511.4","523.7","524.9","524.9","521.9","513.0","513.0","510.8","519.9","532.7","533.1","530.9"
"2008.0","520.9","536.3","534.2","539.4","534.9","525.0","523.9","523.3","534.3","545.5","548.4","548.4"
"2009.0","538.5","551.1","547.4","549.7","545.8","535.4","533.8","530.4","539.5","551.4","553.8","551.1"
"2010.0","541.8","551.2","551.3","553.5","551.7","540.4","539.4","536.9","546.5","560.7","561.8","559.4"
"2011.0","546.9","560.7","561.2","561.7","558.2","547.3","545.5","543.5","556.5","565.0","567.9","567.7"
"2012.0","556.6","569.3","571.9","572.8","568.6","557.1","552.6","549.9","565.9","576.5","578.0","576.0"
"2013.0","564.6","577.5","579.2","579.4","573.7","563.7","560.4","558.5","576.8","585.9","590.7","586.5"
"2014.0","577.0","587.0","588.8","594.5","589.1","578.7","576.9","575.8","593.6","603.5","607.4","603.7"
"2015.0","593.7","605.4","604.3","609.9","605.1","594.4","591.5","588.2","605.0","616.5","619.3","616.9"
"2016.0","606.5","618.8","619.8","628.4","622.8","610.8","610.6","609.0","629.2","637.2","639.2","637.5"
"2017.0","629.0","642.1","642.2","645.7","640.8","627.3","625.3","623.1","643.0","653.2","656.4","655.1"
"2018.0","641.9","656.6","655.3","659.4","654.7","643.3","639.1","638.7","658.7","670.4","671.6","668.1"
"2019.0","659.2","670.8","673.1","675.6","669.8","656.5","651.3","651.5","670.4","680.6","683.8","680.6"
"2020.0","670.9","684.4","678.8","600.1","601.8","605.8","607.7","611.3","629.4","640.8","643.8","635.9"
"2021.0","628.3","638.0","646.2","649.4","647.4","634.4","632.5","632.1","645.9","659.7","663.4","662.6"
"2022.0","649.8","667.4","669.5","675.8","673.5","658.3","660.7","664.6","681.1","694.3","698.2","695.4"
"2023.0","683.6","698.9","704.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
