"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379807000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Leisure and Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Leisure and Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","159.0","160.1","163.3","164.0","169.4","173.0","170.8","171.0","168.3","164.2","163.9","164.3"
"1991.0","153.5","154.4","157.4","161.9","167.0","170.3","167.6","167.4","163.7","159.6","159.7","160.6"
"1992.0","151.8","152.5","155.2","160.8","166.7","169.1","168.5","167.7","164.3","163.5","161.9","161.6"
"1993.0","154.5","155.5","156.3","164.1","170.7","173.7","172.1","171.6","168.7","163.1","162.5","162.8"
"1994.0","153.5","153.7","157.3","161.9","168.7","172.6","171.1","170.3","165.8","162.8","162.2","163.2"
"1995.0","154.5","155.4","159.1","165.3","172.3","177.2","175.4","175.3","172.6","168.2","167.8","168.2"
"1996.0","157.3","159.8","163.8","171.9","179.9","184.4","181.7","181.5","178.4","174.0","173.9","175.1"
"1997.0","166.6","167.6","171.7","179.1","186.2","190.6","188.0","188.0","185.8","180.6","180.1","181.5"
"1998.0","172.7","174.3","176.9","182.9","189.7","194.5","194.0","192.4","189.1","185.8","184.4","185.7"
"1999.0","178.6","179.9","183.2","192.0","198.4","205.4","202.4","201.0","196.3","192.7","190.8","192.8"
"2000.0","183.0","182.8","188.7","195.1","199.8","205.7","205.2","204.3","201.0","198.1","197.8","198.0"
"2001.0","182.6","184.2","187.8","196.7","204.2","210.2","209.9","208.6","203.1","200.1","199.5","200.8"
"2002.0","187.3","188.9","193.2","201.1","207.2","213.5","211.7","210.9","207.1","206.1","205.0","204.0"
"2003.0","193.6","192.7","198.0","203.6","211.2","215.7","217.8","218.1","211.5","208.1","206.3","206.5"
"2004.0","197.1","195.8","199.8","208.6","215.5","222.0","221.9","221.8","216.9","215.3","213.2","214.0"
"2005.0","203.2","201.8","206.3","215.1","222.9","229.3","228.2","226.5","222.2","217.6","215.7","215.0"
"2006.0","205.9","205.9","211.4","219.0","225.5","232.4","230.5","230.2","224.4","221.3","219.3","219.7"
"2007.0","211.0","210.6","215.5","222.1","228.9","234.3","232.6","231.9","225.5","223.4","221.3","220.4"
"2008.0","210.7","210.8","215.8","225.8","231.9","237.3","237.5","234.5","227.7","226.2","220.9","219.2"
"2009.0","207.2","207.1","210.6","217.7","227.8","231.5","233.0","230.3","222.7","222.6","216.7","215.4"
"2010.0","206.3","204.1","211.0","221.4","229.8","234.4","236.4","236.1","230.4","228.4","226.1","224.0"
"2011.0","213.9","214.2","221.5","230.0","237.2","241.4","240.9","240.9","233.7","231.2","229.0","226.9"
"2012.0","219.0","219.7","228.6","234.8","243.1","250.1","248.3","248.6","240.3","237.2","235.4","236.1"
"2013.0","223.6","224.5","230.2","240.2","247.8","253.8","254.0","253.4","246.7","242.2","239.9","240.5"
"2014.0","231.2","229.1","236.1","244.1","253.0","258.6","258.2","259.0","252.0","250.6","245.9","246.7"
"2015.0","235.1","235.0","240.8","249.5","259.2","265.2","263.7","263.7","256.3","256.0","250.8","252.2"
"2016.0","240.3","240.9","248.5","258.0","265.0","271.0","271.1","271.0","264.9","262.2","258.3","257.0"
"2017.0","248.2","249.4","255.8","264.7","273.3","280.1","280.4","279.7","271.0","269.8","265.9","264.0"
"2018.0","254.9","255.6","260.9","270.2","278.5","286.0","285.3","285.1","275.7","274.5","269.8","269.5"
"2019.0","260.0","260.1","267.8","276.2","284.4","291.7","291.6","290.5","280.1","277.2","274.6","275.0"
"2020.0","267.1","266.6","259.3","117.4","132.2","156.4","186.6","193.4","197.0","202.0","199.1","185.2"
"2021.0","182.3","187.5","197.9","210.5","222.2","237.0","247.4","248.6","240.3","242.2","241.4","242.8"
"2022.0","232.8","235.4","244.5","252.9","261.8","271.8","276.1","274.8","265.4","262.2","259.3","258.0"
"2023.0","253.8","253.9","262.8",NA,NA,NA,NA,NA,NA,NA,NA,NA
