"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379808000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Other Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Other Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","93.4","94.5","95.3","95.3","95.9","97.0","96.2","96.1","95.2","95.5","95.2","95.4"
"1991.0","92.5","92.7","93.0","92.7","93.1","93.5","93.5","92.6","91.7","92.4","92.6","92.9"
"1992.0","90.3","90.7","91.3","91.6","92.4","92.6","93.0","91.7","91.6","92.9","92.6","92.5"
"1993.0","91.5","91.6","91.7","91.9","92.3","92.3","92.8","92.0","91.1","91.4","91.4","91.8"
"1994.0","89.3","89.5","90.5","91.9","92.6","93.6","94.3","94.1","93.9","94.6","95.2","95.4"
"1995.0","93.3","94.5","95.8","96.3","96.4","97.3","97.6","97.7","97.4","98.2","98.7","99.1"
"1996.0","96.5","98.5","99.5","100.3","101.0","102.3","102.4","101.7","100.7","101.3","101.5","101.6"
"1997.0","99.9","100.4","101.5","101.0","101.6","102.2","103.2","103.0","102.2","101.9","102.4","102.7"
"1998.0","100.8","101.3","101.9","103.3","103.9","104.3","104.8","104.9","104.1","105.3","105.3","105.5"
"1999.0","103.3","104.1","104.8","105.7","106.3","107.9","108.1","108.0","107.1","108.2","108.6","110.0"
"2000.0","107.9","108.7","110.2","110.4","110.9","111.9","112.1","111.7","110.9","112.2","112.8","113.1"
"2001.0","111.5","111.8","113.6","113.9","115.0","116.1","116.3","115.9","114.8","115.9","116.3","116.8"
"2002.0","116.0","116.8","117.5","118.5","120.6","122.5","121.8","121.9","120.7","119.6","119.5","119.5"
"2003.0","118.1","118.1","119.3","119.2","120.1","121.5","120.9","120.7","119.3","119.9","120.3","120.7"
"2004.0","118.6","119.0","120.3","121.5","122.3","123.8","124.5","124.5","123.8","123.2","123.3","123.6"
"2005.0","123.2","123.5","124.4","124.2","124.9","126.1","125.0","124.4","123.5","123.1","123.2","123.4"
"2006.0","122.0","122.2","123.3","123.1","123.8","124.9","124.0","123.2","121.8","121.8","121.7","121.7"
"2007.0","120.4","120.7","121.3","122.0","122.8","124.3","123.4","122.4","121.6","121.6","121.8","121.8"
"2008.0","120.8","120.7","120.6","120.5","121.5","122.2","121.7","121.1","120.3","119.7","119.3","119.2"
"2009.0","117.5","117.6","118.0","117.9","119.1","119.8","119.2","118.4","117.1","117.3","117.2","117.3"
"2010.0","116.5","115.6","117.0","118.0","119.1","120.2","119.3","119.2","118.3","118.7","118.8","118.9"
"2011.0","117.8","118.0","118.8","119.7","120.2","121.7","120.6","120.0","119.0","118.9","118.8","118.9"
"2012.0","118.4","118.3","119.0","119.7","120.8","122.5","121.2","121.0","119.8","119.6","119.5","119.9"
"2013.0","118.5","118.7","119.2","120.0","120.6","122.2","119.4","118.9","117.2","117.1","116.7","116.2"
"2014.0","114.6","113.8","114.9","115.9","117.5","119.3","118.2","117.6","116.3","116.9","116.9","116.6"
"2015.0","115.3","115.5","116.2","116.6","117.9","119.4","118.3","117.8","116.5","117.1","117.4","117.8"
"2016.0","116.4","117.0","118.3","119.1","119.9","121.5","120.9","120.4","118.8","120.0","119.6","118.9"
"2017.0","118.2","117.9","118.6","119.4","120.7","122.2","121.2","120.8","119.0","119.5","119.7","119.6"
"2018.0","118.6","118.7","119.4","120.7","121.8","123.5","122.8","122.4","121.3","121.6","121.7","121.7"
"2019.0","120.8","120.5","121.1","121.8","123.2","124.9","124.3","123.3","122.9","123.1","123.4","123.3"
"2020.0","122.1","122.3","120.3","77.5","81.4","86.7","102.2","104.5","105.4","108.3","108.2","107.3"
"2021.0","106.6","107.0","108.4","109.7","110.8","112.4","113.6","113.3","113.1","115.1","115.5","116.0"
"2022.0","115.3","116.3","117.3","118.5","119.4","120.9","121.0","120.5","120.4","121.2","122.5","123.0"
"2023.0","121.2","121.2","122.7",NA,NA,NA,NA,NA,NA,NA,NA,NA
