"Col_1","Col_2","Col_3","Col_4","Col_5","Col_6","Col_7","Col_8","Col_9","Col_10","Col_11","Col_12","Col_13"
"State and Area Employment, Hours, and Earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Original Data Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Series Id:","SMU42379809000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not Seasonally Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State:","Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Area:","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supersector:","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industry:","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data Type:","All Employees, In Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Years:","1990 to 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1990.0","333.6","338.1","339.1","340.0","339.7","339.7","325.3","319.6","327.8","337.0","340.0","339.9"
"1991.0","336.0","338.9","340.1","345.1","344.7","340.4","318.9","310.9","324.6","337.0","340.8","340.6"
"1992.0","332.3","337.8","340.3","341.5","338.7","336.5","330.5","322.5","323.9","336.8","339.6","340.3"
"1993.0","332.4","339.7","341.8","341.2","341.0","338.1","323.9","316.6","320.5","332.4","336.6","339.8"
"1994.0","330.6","334.6","339.3","341.4","340.1","338.0","318.5","313.0","325.2","334.1","336.7","340.5"
"1995.0","332.6","336.5","338.7","340.2","339.6","338.5","319.2","315.0","327.3","335.5","338.3","340.6"
"1996.0","333.6","340.0","343.6","343.0","342.6","334.2","324.5","323.1","328.9","337.1","338.5","339.1"
"1997.0","334.0","339.0","342.0","341.2","341.0","333.2","320.6","317.7","327.6","336.2","338.9","339.7"
"1998.0","334.7","340.5","342.1","343.2","342.4","327.2","315.4","313.6","328.6","334.6","337.4","340.2"
"1999.0","334.0","336.8","340.7","344.6","344.2","338.1","319.3","316.9","330.2","341.1","343.8","346.3"
"2000.0","340.6","347.1","352.0","354.0","359.7","352.0","327.9","320.3","340.0","347.8","351.6","352.6"
"2001.0","347.4","354.2","355.7","357.0","354.2","350.3","327.1","321.8","342.1","352.4","357.0","359.3"
"2002.0","354.0","360.4","361.6","362.2","360.9","356.9","329.5","321.7","344.1","354.1","358.4","358.3"
"2003.0","351.4","358.0","360.2","360.7","359.6","356.7","331.3","324.8","346.6","358.4","361.4","361.5"
"2004.0","355.8","362.2","364.6","366.2","363.1","358.8","331.2","326.7","351.1","361.6","364.2","363.2"
"2005.0","357.0","363.2","365.4","366.1","363.4","358.4","336.6","331.7","350.4","360.6","361.9","361.2"
"2006.0","356.1","362.9","364.6","364.6","364.1","357.3","333.6","330.7","349.7","359.3","361.9","360.4"
"2007.0","352.7","359.8","361.6","361.5","359.9","356.4","332.5","328.4","347.4","359.5","361.5","359.7"
"2008.0","353.5","359.1","361.0","362.4","360.0","357.5","327.9","327.3","351.0","363.6","364.9","364.6"
"2009.0","357.4","362.9","365.4","366.4","362.6","359.8","333.0","329.8","353.8","364.7","366.6","365.2"
"2010.0","356.6","362.6","364.7","366.7","372.4","366.4","334.0","328.1","347.5","357.0","360.4","360.4"
"2011.0","351.4","356.0","357.9","359.0","354.3","350.3","320.7","316.9","338.0","347.4","349.4","349.4"
"2012.0","339.2","346.3","347.6","347.5","344.9","340.0","313.8","312.2","333.1","343.8","345.6","345.6"
"2013.0","336.4","343.6","345.4","344.7","344.3","338.8","310.8","308.2","330.7","340.6","342.9","341.3"
"2014.0","333.2","340.0","341.3","342.4","340.8","337.5","310.2","307.6","331.1","339.5","341.2","339.5"
"2015.0","331.8","337.6","340.2","341.0","340.1","336.2","308.6","307.9","331.3","336.6","339.1","338.4"
"2016.0","329.7","335.8","338.5","338.0","336.8","332.1","310.3","309.3","332.6","338.2","340.4","339.9"
"2017.0","332.0","338.1","340.0","339.0","338.3","333.5","311.9","313.1","333.9","339.0","341.0","340.8"
"2018.0","332.6","339.1","340.3","340.4","338.4","335.5","313.5","314.6","336.8","341.4","343.8","342.8"
"2019.0","333.1","341.0","342.8","342.2","340.1","335.8","318.4","319.4","339.8","344.4","346.9","345.6"
"2020.0","338.0","344.2","345.7","334.0","328.8","324.7","304.5","308.9","330.1","331.3","332.0","330.2"
"2021.0","323.1","329.0","330.4","331.0","329.1","325.9","310.1","310.4","329.2","332.9","334.8","334.5"
"2022.0","328.1","333.3","333.7","333.8","331.8","329.3","311.4","313.5","332.7","337.2","339.4","339.5"
"2023.0","333.0","338.7","339.8",NA,NA,NA,NA,NA,NA,NA,NA,NA
